"","Dim1","Dim2","Dim3","Dim4","Dim5","Dim6","Dim7","Dim8","Dim9","Dim10","Dim11","Dim12"
"70",-27.2248866876,22.6405320262597,5.84376394097725,10.8939840167068,16.1075834536359,-1.60178397920939,5.49689236231001,13.2110332456608,-1.81676387165441,6.25220700867555,3.38343035581834,-2.76460628878183
"71",-21.7548790970656,22.8491679466834,2.67470542077537,4.53272998334091,12.749688869622,1.23126310140158,4.12004101183199,19.0693525743781,-5.82976457165959,8.86214397722931,1.3094327273043,-5.69465527175175
"72",-25.5940144476933,24.0121680756953,6.9549040870522,4.21980730934547,16.6756250467023,0.465774657386509,4.53647351427442,13.5833773802076,-6.75133366936788,9.14257260138714,0.8631495377613,-4.60443007803984
"73",-22.2811713875591,22.6309591209746,2.29906952095799,5.22025535849727,13.3704904400736,0.433886752605102,4.30349880727533,19.4435491260018,-5.05480473812289,9.26962515564753,2.62866085413436,-6.27650333167966
"74",-18.0840276625772,25.4327914824992,5.75793147583571,11.4655124495618,14.4837091091544,-0.722256577184627,8.70467523045102,14.6068482383582,-1.32099753275824,4.7851360466588,3.4406760720843,-5.25454580896848
"75",-27.6253120650593,20.5497466179059,4.36516575221712,14.2221149484062,17.3330521093449,-2.95285416570283,5.5637379447309,13.5278504262594,3.19869213372754,6.58133456643913,6.12350708418432,-0.780634755541398
"76",-30.7859137484983,20.2891348051031,5.76595521948552,13.1046574250868,18.1736970853445,-4.43626694209456,4.26931361637265,9.98642424384003,0.896225592408269,7.15341214042378,6.0584699763498,-0.452052605588881
"77",-24.3746307130417,25.1568201318286,6.18478218918494,8.51098633297857,14.8643892387272,0.124776908146875,6.75339377160761,13.7675982932937,-3.70084602906204,5.72020800464276,1.41882408729063,-4.39337238165056
"78",-20.9711316707102,23.0932583718069,3.13220067536977,7.00157844851928,8.98743295768576,4.84362501470317,3.815196908061,17.1083546956935,-1.36844523857324,4.0202045726772,-1.28239017206717,-2.37785087851484
"80",-25.7549110203363,25.119878747668,6.89260686359242,9.52147417055102,15.6618294448471,-0.703449918405652,6.96759905567839,12.9594615009889,-2.54313846898333,5.79519521462312,2.70599997292249,-3.81458980891356
"81",-33.5300103819953,26.9187466002725,15.3120200482623,13.8171854153707,2.3509315844396,11.2477804220323,-2.00007934842218,5.12419913172424,-20.4883638758242,-8.8314864057568,-2.88180434063549,-2.09732569274733
"82",-34.1380229210817,27.2465972167397,15.3107845220367,14.3556605800493,1.75468271382599,13.22803896091,-3.96901172183258,6.19151490685431,-19.9569772170466,-6.91667702722917,-4.39329521298854,-1.30735428014186
